ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Name_in_Source
Russian,Russian,russ1263,,,,,,,Rus
Lithuanian,Lithuanian,lith1251,,,,,,,Lit
OldIcelandic,Old Icelandic,,,,,,,,oIs
Bokmal,Bokmål,,,,,,,,Bkm
OldIrish,Old Irish,oldi1245,,,,,,,oIr
ModernIrish,Mod. Irish,iris1253,,,,,,,rIr
Italian,Italian,ital1282,,,,,,,Itn
Latin,Latin,Lati1261,,,,,,,Lat
Albanian,Albanian,gheg1238,,,,,,,Alb
AncientGreek,Anc. Greek,anci1242,,,,,,,aGr
ModernGreek,Mod. Greek,mode1248,,,,,,,rGr
ModernArmenian,Mod. Armenian,homs1234,,,,,,,Arm
Hittite,Hittite,hitt1242,,,,,,,Hit
TocharianB,Tocharian-B,,,,,,,,ToB
Avestan,Avestan,aves1237,,,,,,,Ave
VedicSanskrit,Vedic Sanskrit,sans1269,,,,,,,San
Hindi,Hindi,,,,,,,,Hnd
