NUMBER	ENGLISH	GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	I (PrsPrn 1Sg)	I (PPr) // I (PrsPrn 1Sg)	1209	I	4
#<<<					
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	3292	THOU (HONORIFIC)	4
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	3293	YOU (HONORIFIC)	4
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	2312	YOU (OBLIQUE CASE OF YOU)	4
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	1215	THOU	4
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	2111	YOU TWO	4
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	1213	YOU	4
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	1209	I	4
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	2304	THEE (OBLIQUE CASE OF YOU)	4
2	You, 2sg, thou (1955) [uninftve]	you // You, 2sg, thou (1955) [uninftve]	2844	YOU (FORMAL ADDRESS)	4
#>>>					
3	we incl	we incl		???	
4	this	this // this [amb]	1214	THIS	2
5	that	that [cf “all”!] // that [amb, often undecidable] // that	78	THAT	2
#<<<					
6	who (intpron) [uninformative]	who (intpron) [uninformative]	2147	WHO OR WHAT	4
6	who (intpron) [uninformative]	who (intpron) [uninformative]	1235	WHO	4
#>>>					
#<<<					
7	what (Intpron) [uninformative]	what (Intpron) [uninformative] // what (Intpron)	2147	WHO OR WHAT	4
7	what (Intpron) [uninformative]	what (Intpron) [uninformative] // what (Intpron)	1236	WHAT	4
#>>>					
8	not	not (‘comparable’) // not	1240	NOT	2
#<<<					
9	all (of a no.)	all (of a no.)	2650	ALL OR MANY	4
9	all (of a no.)	all (of a no.)	98	ALL	4
9	all (of a no.)	all (of a no.)	3638	ASSEMBLE (GET TOGETHER)	4
9	all (of a no.)	all (of a no.)	2277	WHOLE	4
#>>>					
#<<<					
10	many	many // many n [NOT: full, big, much] // many (plural!)	1198	MANY	2
10	many	many // many n [NOT: full, big, much] // many (plural!)	3453	MANY PIECES	2
#>>>					
11	one	one // one (numeral)	1493	ONE	2
#<<<					
12	two (num) [uninformative]	two (num) [uninformative]	1384	SECOND	4
12	two (num) [uninformative]	two (num) [uninformative]	1498	TWO	4
#>>>					
13	big	big (large, cf many, long) // big	1202	BIG	2
#<<<					
14	long	long	1203	LONG	2
14	long	long	418	FOR A LONG TIME	2
14	long	long	3473	LONG (FOR SOMETHING)	2
#>>>					
15	small	small // small [amb]	1246	SMALL	2
16	woman	woman	962	WOMAN	2
#<<<					
17	man	man (adult male human) cf person // man	1554	MAN	2
17	man	man (adult male human) cf person // man	683	PERSON	2
17	man	man (adult male human) cf person // man	2106	MALE PERSON	2
#>>>					
18	person	person (human individual; cf man // person	683	PERSON	2
#<<<					
19	fish	fish n // fish	227	FISH	2
19	fish	fish n // fish	2638	FISHING	2
#>>>					
20	bird	bird (cf “fly”) // bird	937	BIRD	2
21	dog	dog // dog n	2009	DOG	2
#<<<					
22	louse	louse [Ri only i list] // louse	1392	LOUSE	2
22	louse	louse [Ri only i list] // louse	310	HEAD LOUSE	2
#>>>					
23	tree	tree // tree (not log) Lu~)	906	TREE	2
24	seed	seed // seed n[not universal]	714	SEED	2
#<<<					
25	leaf	leaf // leaf (of plant)	628	LEAF	2
25	leaf	leaf // leaf (of plant)	2250	LEAF (LEAFLIKE OBJECT)	2
#>>>					
26	root	root	670	ROOT	2
#<<<					
27	bark	bark (of tree) // bark	1204	BARK	2
27	bark	bark (of tree) // bark	1206	BARKING	2
#>>>					
#<<<					
28	skin	skinn // skin // skin (human)	291	PULL OFF (SKIN)	2
28	skin	skinn // skin // skin (human)	763	SKIN	2
28	skin	skinn // skin // skin (human)	2614	SKIN (ANIMAL)	2
28	skin	skinn // skin // skin (human)	2613	SKIN (HUMAN)	2
#>>>					
#<<<					
29	flesh	flesh (1955 meat, =Ri.)* // flesh	2259	FLESH	2
29	flesh	flesh (1955 meat, =Ri.)* // flesh	2615	FLESH OR MEAT	2
#>>>					
30	blood	blood // blood n	946	BLOOD	2
31	bone	bone (oppos. to flesh) // bone	1394	BONE	2
32	grease, fat	grease, fat // grease n (anat! 1955 fat=Ri)	323	FAT (ORGANIC SUBSTANCE)	2
33	egg	egg // egg [cf seed!]	744	EGG	2
#<<<					
34	horn	horn // horn (anim.) [cf head]	1393	HORN (ANATOMY)	2
34	horn	horn // horn (anim.) [cf head]	939	HORN (INSTRUMENT)	2
#>>>					
35	tail	tail (cf arse!) // tail	1220	TAIL	2
36	feather	feather (large, not down) [amb] // feather	1201	FEATHER	2
#<<<					
37	hair	hair	2648	HAIR (HEAD)	2
37	hair	hair	1040	HAIR	2
37	hair	hair	2381	FEATHER OR FUR OR HAIR	2
#>>>					
38	head	head // head(anat)	1256	HEAD	2
39	ear	ear (anat) // ear	1247	EAR	2
40	eye	eye	1248	EYE	2
41	nose	nose	1221	NOSE	2
42	mouth	mouth	674	MOUTH	2
43	tooth	tooth (front? undecidable) // tooth	1380	TOOTH	2
44	tongue	tongue (anat) // tongue	1205	TONGUE	2
#<<<					
45	nail(s) (claw)	nail of digits (not followg Sw’ change to ‘claw’) // nail(s) (claw)	3306	NAIL	4
45	nail(s) (claw)	nail of digits (not followg Sw’ change to ‘claw’) // nail(s) (claw)	2128	CLAW OR NAIL	4
45	nail(s) (claw)	nail of digits (not followg Sw’ change to ‘claw’) // nail(s) (claw)	72	CLAW	4
45	nail(s) (claw)	nail of digits (not followg Sw’ change to ‘claw’) // nail(s) (claw)	1896	FINGERNAIL OR TOENAIL	4
45	nail(s) (claw)	nail of digits (not followg Sw’ change to ‘claw’) // nail(s) (claw)	1258	FINGERNAIL	4
45	nail(s) (claw)	nail of digits (not followg Sw’ change to ‘claw’) // nail(s) (claw)	502	NAIL (TOOL)	4
#>>>					
#<<<					
46	foot	foot	1301	FOOT	2
46	foot	foot	2098	FOOT OR LEG	2
#>>>					
47	knee	knee // knee (bodypt)	1371	KNEE	2
48	hand	hand	1277	HAND	2
49	belly	belly (abdomen, not stomach) // Belly // belly	1251	BELLY	2
50	neck	neck // neck (not nape) [difficult]	1333	NECK	2
51	breasts (fem)	breasts (fem, Ri. “woman’s”) // breasts (fem)	1402	BREAST	4
52	heart	heart	1223	HEART	2
53	liver	liver	1224	LIVER	2
#<<<					
54	drink	drink // drink vt	1401	DRINK	2
54	drink	drink // drink vt	731	BEVERAGE	2
#>>>					
55	eat	eat v, [cf tooth] // eat	1336	EAT	2
56	bite (v)	bite (v) // bite (v) [cf “eat”]	1403	BITE	1
57	see	see (to look) [cf to know] // see	1409	SEE	2
#<<<					
58	hear	hear (v) // hear	1408	HEAR	2
58	hear	hear (v) // hear	1247	EAR	2
#>>>					
#<<<					
59	know	know // know vi // know (facts)	3626	KNOW	2
59	know	know // know vi // know (facts)	1410	KNOW (SOMETHING)	2
59	know	know // know vi // know (facts)	2248	KNOW (SOMEBODY)	2
#>>>					
#<<<					
60	sleep	s(leep // sleep (v; [cf lie down] // sleep	1585	SLEEP	2
60	sleep	s(leep // sleep (v; [cf lie down] // sleep	2972	SLEEP (STATE)	2
#>>>					
61	die	die // die vi	1494	DIE	2
62	kill	kill // kill v (cf die!) (Ri-L	1417	KILL	2
63	swim	swim // swim [amb~ float]	1439	SWIM	2
#<<<					
64	fly	fly // fly v	1504	FLY (INSECT)	2
64	fly	fly // fly v	1441	FLY (MOVE THROUGH AIR)	2
#>>>					
#<<<					
65	walk	walk (advancing foots alternatively) // walk	2979	WALK (MANNER)	2
65	walk	walk (advancing foots alternatively) // walk	1443	WALK	2
#>>>					
66	come	come // come vi [cf walk, go]	1446	COME	2
#<<<					
67	lie	lie // lie (recline, rest)	1411	LIE (REST)	2
67	lie	lie // lie (recline, rest)	2826	LIE (FALSEHOOD)	2
67	lie	lie // lie (recline, rest)	215	LIE DOWN	2
67	lie	lie // lie (recline, rest)	601	LIE (MISLEAD)	2
#>>>					
#<<<					
68	sit	sit (vi) // sit	1649	SIT DOWN	2
68	sit	sit (vi) // sit	1416	SIT	2
#>>>					
#<<<					
69	stand	stand (vi) // stand	570	STAND UP	2
69	stand	stand (vi) // stand	1442	STAND	2
#>>>					
#<<<					
70	give	give	1447	GIVE	2
70	give	give	196	DONATE	2
#>>>					
71	say	say [undecidable!] // say	1458	SAY	2
72	sun	sun	1343	SUN	2
73	moon	moon	1313	MOON	2
74	star	star	1430	STAR	2
#<<<					
75	water	water n [cf rain!] // water	2516	WATER BUFFALO	2
75	water	water n [cf rain!] // water	3078	IRRIGATE	2
75	water	water n [cf rain!] // water	948	WATER	2
#>>>					
#<<<					
76	rain	rain n // rain	1253	RAIN (RAINING)	2
76	rain	rain n // rain	658	RAIN (PRECIPITATION)	2
76	rain	rain n // rain	2108	RAINING OR RAIN	2
#>>>					
#<<<					
77	stone	stone // stone (opp. to sand, earth)	668	ROCK	2
77	stone	stone // stone (opp. to sand, earth)	857	STONE	2
77	stone	stone // stone (opp. to sand, earth)	1762	STONE (OF FRUIT)	2
#>>>					
#<<<					
78	sand	sand // sand (as opp. to earth) // sand ?	671	SAND	2
78	sand	sand // sand (as opp. to earth) // sand ?	3460	BEACH	2
#>>>					
#<<<					
79	earth	earth // earth (soil! opp.to sand, stone; thus not globe, territory)	1228	EARTH (SOIL)	2
79	earth	earth // earth (soil! opp.to sand, stone; thus not globe, territory)	965	WORLD	2
79	earth	earth // earth (soil! opp.to sand, stone; thus not globe, territory)	2159	GROUND	2
79	earth	earth // earth (soil! opp.to sand, stone; thus not globe, territory)	626	LAND	2
#>>>					
#<<<					
80	cloud	cloud (not smoke, fume) // cloud	1489	CLOUD	2
80	cloud	cloud (not smoke, fume) // cloud	448	STORM CLOUDS	2
#>>>					
#<<<					
81	smoke	smoke ? // smoke (n, of fire, not cloud) // smoke	1689	SMOKE (INHALE)	2
81	smoke	smoke ? // smoke (n, of fire, not cloud) // smoke	2859	SMOKE (EMIT SMOKE)	2
81	smoke	smoke ? // smoke (n, of fire, not cloud) // smoke	778	SMOKE (EXHAUST)	2
#>>>					
82	fire	fire	221	FIRE	2
83	ash(es)	ash(es)	646	ASH	2
#<<<					
84	burn	burn (i. not maintainable) // burn	2102	BURN	2
84	burn	burn (i. not maintainable) // burn	3622	BURN (INJURY)	2
84	burn	burn (i. not maintainable) // burn	141	BURN (SOMETHING)	2
84	burn	burn (i. not maintainable) // burn	1428	BURNING	2
#>>>					
85	path	path // path, road, (not street) [amb]	2252	PATH	2
86	mountain	mountain [not universal, amb] // mountain	639	MOUNTAIN	2
#<<<					
87	red	red	156	RED	2
87	red	red	388	FISHNET	2
#>>>					
88	green	green // green [amb! cf. yellow]	1425	GREEN	2
89	yellow	yellow [amb] // yellow	1424	YELLOW	2
90	white	white  [amb] // white	1335	WHITE	2
91	black	black(col) [amb] // black(col) // black	163	BLACK	2
92	night	night	1233	NIGHT	2
#<<<					
93	hot	hot // hot (vs. cold; 1952: warm) [amb]	1286	HOT	2
93	hot	hot // hot (vs. cold; 1952: warm) [amb]	2272	HOT OR WARM	2
#>>>					
#<<<					
94	cold	cold	2932	COLD (CHILL)	2
94	cold	cold	102	COMMON COLD (DISEASE)	2
94	cold	cold	2483	COLD (OF WEATHER)	2
94	cold	cold	1287	COLD	2
#>>>					
95	full	full	1429	FULL	2
96	new	new	1231	NEW	2
97	good	good [cf ‘big’] // good	1035	GOOD	2
#<<<					
98	round	round [amb, out of 22 in WP:] // round // round ?	1395	ROUND	2
98	round	round [amb, out of 22 in WP:] // round // round ?	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	2
#>>>					
#<<<					
99	dry	dry (adj) // dry	1398	DRY	2
99	dry	dry (adj) // dry	1786	DRY UP	2
#>>>					
#<<<					
100	name	name // name [uninf]	1405	NAME	2
100	name	name // name [uninf]	180	CALL BY NAME	2
#>>>					
#	99/100	99%		

